Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
80,Fresno State,San Joaquin Valley,10/2/2023,0400,275,0.00, ,0.00, ,0, ,1.3, ,15.6, ,74, ,11.0, ,1.0, ,309, ,22.4, 
80,Fresno State,San Joaquin Valley,10/2/2023,0500,275,0.00, ,0.00, ,0, ,1.3, ,15.4, ,74, ,10.7, ,1.0, ,292, ,22.4, 
80,Fresno State,San Joaquin Valley,10/2/2023,0600,275,0.00, ,0.00, ,2, ,1.3, ,14.8, ,77, ,10.7, ,0.7, ,274, ,22.3, 
80,Fresno State,San Joaquin Valley,10/2/2023,0700,275,0.01, ,0.00, ,55, ,1.3, ,15.1, ,76, ,10.9, ,0.8, ,286, ,22.3, 
80,Fresno State,San Joaquin Valley,10/2/2023,0800,275,0.14, ,0.00, ,259, ,1.3, ,17.4, ,67, ,11.1, ,1.1, ,265, ,22.2, 
80,Fresno State,San Joaquin Valley,10/2/2023,0900,275,0.27, ,0.00, ,442, ,1.4, ,19.3, ,61, ,11.6, ,1.4, ,195, ,22.2, 
80,Fresno State,San Joaquin Valley,10/2/2023,1000,275,0.36, ,0.00, ,551, ,1.4, ,20.5, ,57, ,11.7, ,1.8, ,215, ,22.1, 
80,Fresno State,San Joaquin Valley,10/2/2023,1100,275,0.46, ,0.00, ,676, ,1.4, ,22.1, ,53, ,12.0, ,1.6, ,168, ,22.1, 
80,Fresno State,San Joaquin Valley,10/2/2023,1200,275,0.54, ,0.00, ,753, ,1.4, ,23.1, ,50, ,12.1, ,2.3, ,287, ,22.0, 
80,Fresno State,San Joaquin Valley,10/2/2023,1300,275,0.56, ,0.00, ,766, ,1.4, ,23.9, ,46, ,11.5, ,2.8, ,294, ,22.1, 
80,Fresno State,San Joaquin Valley,10/2/2023,1400,275,0.51, ,0.00, ,708, ,1.3, ,24.7, ,41, ,10.7, ,2.7, ,285, ,22.1, 
80,Fresno State,San Joaquin Valley,10/2/2023,1500,275,0.43, ,0.00, ,541, ,1.2, ,24.9, ,38, ,9.7, ,3.0, ,300, ,22.2, 
80,Fresno State,San Joaquin Valley,10/2/2023,1600,275,0.29, ,0.00, ,359, ,1.2, ,25.0, ,37, ,9.5, ,2.5, ,300, ,22.4, 
80,Fresno State,San Joaquin Valley,10/2/2023,1700,275,0.15, ,0.00, ,164, ,1.2, ,24.4, ,39, ,9.6, ,2.3, ,310, ,22.5, 
80,Fresno State,San Joaquin Valley,10/2/2023,1800,275,0.07, ,0.00, ,26, ,1.2, ,22.3, ,43, ,9.2, ,1.9, ,298, ,22.6, 
80,Fresno State,San Joaquin Valley,10/2/2023,1900,275,0.03, ,0.00, ,0, ,1.2, ,20.2, ,50, ,9.4, ,1.4, ,290, ,22.8, 
80,Fresno State,San Joaquin Valley,10/2/2023,2000,275,0.01, ,0.00, ,0, ,1.2, ,17.7, ,61, ,10.0, ,0.8, ,315, ,22.8, 
80,Fresno State,San Joaquin Valley,10/2/2023,2100,275,0.01, ,0.00, ,1, ,1.3, ,17.4, ,64, ,10.4, ,0.9, ,136, ,22.9, 
80,Fresno State,San Joaquin Valley,10/2/2023,2200,275,0.01, ,0.00, ,0, ,1.2, ,16.5, ,64, ,9.7, ,0.7, ,201, ,22.9, 
80,Fresno State,San Joaquin Valley,10/2/2023,2300,275,0.00, ,0.00, ,1, ,1.2, ,15.1, ,70, ,9.6, ,0.7, ,22, ,22.9, 
80,Fresno State,San Joaquin Valley,10/2/2023,2400,275,0.00, ,0.00, ,1, ,1.2, ,13.9, ,76, ,9.8, ,1.0, ,294, ,22.8, 
80,Fresno State,San Joaquin Valley,10/3/2023,0100,276,0.00, ,0.00, ,1, ,1.2, ,13.8, ,77, ,9.7, ,1.3, ,235, ,22.8, 
80,Fresno State,San Joaquin Valley,10/3/2023,0200,276,0.00, ,0.00, ,0, ,1.2, ,13.2, ,79, ,9.6, ,0.9, ,61, ,22.7, 
80,Fresno State,San Joaquin Valley,10/3/2023,0300,276,0.00, ,0.00, ,1, ,1.2, ,12.0, ,85, ,9.5, ,0.6, ,14, ,22.6, 
80,Fresno State,San Joaquin Valley,10/3/2023,0400,276,0.00, ,0.00, ,0, ,1.2, ,12.2, ,87, ,10.0, ,0.9, ,10, ,22.5, 
80,Fresno State,San Joaquin Valley,10/3/2023,0500,276,0.00, ,0.00, ,0, ,1.2, ,11.4, ,91, ,10.0, ,0.6, ,66, ,22.4, 
80,Fresno State,San Joaquin Valley,10/3/2023,0600,276,0.00, ,0.00, ,2, ,1.2, ,12.1, ,88, ,10.1, ,1.1, ,87, ,22.3, 
80,Fresno State,San Joaquin Valley,10/3/2023,0700,276,0.02, ,0.00, ,77, ,1.3, ,14.0, ,81, ,10.9, ,1.3, ,115, ,22.2, 
80,Fresno State,San Joaquin Valley,10/3/2023,0800,276,0.16, ,0.00, ,261, ,1.4, ,17.9, ,67, ,11.8, ,2.5, ,146, ,22.1, 
80,Fresno State,San Joaquin Valley,10/3/2023,0900,276,0.31, ,0.00, ,451, ,1.4, ,20.0, ,59, ,11.7, ,3.2, ,155, ,22.0, 
80,Fresno State,San Joaquin Valley,10/3/2023,1000,276,0.43, ,0.00, ,604, ,1.4, ,21.8, ,54, ,12.0, ,3.2, ,150, ,21.9, 
80,Fresno State,San Joaquin Valley,10/3/2023,1100,276,0.51, ,0.00, ,704, ,1.3, ,23.5, ,46, ,11.3, ,2.5, ,166, ,21.8, 
80,Fresno State,San Joaquin Valley,10/3/2023,1200,276,0.54, ,0.00, ,746, ,1.2, ,24.8, ,40, ,10.1, ,1.6, ,265, ,21.8, 
80,Fresno State,San Joaquin Valley,10/3/2023,1300,276,0.54, ,0.00, ,728, ,1.2, ,26.0, ,37, ,10.0, ,1.7, ,175, ,21.8, 
80,Fresno State,San Joaquin Valley,10/3/2023,1400,276,0.50, ,0.00, ,658, ,1.1, ,26.8, ,32, ,8.6, ,1.7, ,277, ,21.9, 
80,Fresno State,San Joaquin Valley,10/3/2023,1500,276,0.39, ,0.00, ,525, ,1.1, ,27.3, ,31, ,8.9, ,1.4, ,61, ,22.0, 
80,Fresno State,San Joaquin Valley,10/3/2023,1600,276,0.26, ,0.00, ,357, ,1.1, ,27.7, ,31, ,8.9, ,1.1, ,264, ,22.1, 
80,Fresno State,San Joaquin Valley,10/3/2023,1700,276,0.12, ,0.00, ,165, ,1.2, ,27.7, ,32, ,9.3, ,0.9, ,316, ,22.2, 
80,Fresno State,San Joaquin Valley,10/3/2023,1800,276,0.06, ,0.00, ,24, ,1.2, ,24.6, ,40, ,10.1, ,1.3, ,315, ,22.4, 
80,Fresno State,San Joaquin Valley,10/3/2023,1900,276,0.03, ,0.00, ,0, ,1.3, ,21.2, ,50, ,10.3, ,1.1, ,335, ,22.5, 
80,Fresno State,San Joaquin Valley,10/3/2023,2000,276,0.01, ,0.00, ,1, ,1.3, ,19.3, ,59, ,11.0, ,0.5, ,144, ,22.6, 
80,Fresno State,San Joaquin Valley,10/3/2023,2100,276,0.01, ,0.00, ,0, ,1.3, ,17.9, ,64, ,11.0, ,0.7, ,38, ,22.7, 
80,Fresno State,San Joaquin Valley,10/3/2023,2200,276,0.00, ,0.00, ,0, ,1.4, ,16.6, ,73, ,11.7, ,0.6, ,211, ,22.7, 
80,Fresno State,San Joaquin Valley,10/3/2023,2300,276,0.00, ,0.00, ,1, ,1.3, ,16.2, ,73, ,11.3, ,0.9, ,90, ,22.7, 
80,Fresno State,San Joaquin Valley,10/3/2023,2400,276,0.00, ,0.00, ,1, ,1.3, ,15.6, ,75, ,11.3, ,0.9, ,59, ,22.6, 
80,Fresno State,San Joaquin Valley,10/4/2023,0100,277,0.00, ,0.00, ,1, ,1.3, ,14.6, ,79, ,11.0, ,0.7, ,308, ,22.6, 
80,Fresno State,San Joaquin Valley,10/4/2023,0200,277,0.00, ,0.00, ,1, ,1.3, ,13.8, ,80, ,10.4, ,0.8, ,348, ,22.5, 
80,Fresno State,San Joaquin Valley,10/4/2023,0300,277,0.00, ,0.00, ,1, ,1.3, ,13.2, ,84, ,10.5, ,0.5, ,69, ,22.5, 
80,Fresno State,San Joaquin Valley,10/4/2023,0400,277,0.00, ,0.00, ,1, ,1.3, ,13.0, ,85, ,10.6, ,0.7, ,26, ,22.4, 
80,Fresno State,San Joaquin Valley,10/4/2023,0500,277,0.00, ,0.00, ,0, ,1.3, ,12.5, ,86, ,10.3, ,0.6, ,24, ,22.3, 
80,Fresno State,San Joaquin Valley,10/4/2023,0600,277,0.00, ,0.00, ,2, ,1.3, ,12.1, ,89, ,10.3, ,0.5, ,11, ,22.2, 
80,Fresno State,San Joaquin Valley,10/4/2023,0700,277,0.02, ,0.00, ,79, ,1.3, ,13.8, ,83, ,11.0, ,0.9, ,75, ,22.1, 
80,Fresno State,San Joaquin Valley,10/4/2023,0800,277,0.15, ,0.00, ,263, ,1.3, ,18.8, ,62, ,11.4, ,1.5, ,141, ,22.0, 
80,Fresno State,San Joaquin Valley,10/4/2023,0900,277,0.30, ,0.00, ,452, ,1.3, ,21.8, ,49, ,10.7, ,1.8, ,158, ,21.9, 
80,Fresno State,San Joaquin Valley,10/4/2023,1000,277,0.43, ,0.00, ,604, ,1.3, ,24.3, ,44, ,11.3, ,1.9, ,168, ,21.8, 
80,Fresno State,San Joaquin Valley,10/4/2023,1100,277,0.52, ,0.00, ,704, ,1.3, ,26.2, ,39, ,11.1, ,1.7, ,205, ,21.8, 
80,Fresno State,San Joaquin Valley,10/4/2023,1200,277,0.56, ,0.00, ,745, ,1.4, ,27.8, ,37, ,11.7, ,1.5, ,253, ,21.7, 
80,Fresno State,San Joaquin Valley,10/4/2023,1300,277,0.57, ,0.00, ,731, ,1.4, ,28.9, ,35, ,11.8, ,1.6, ,300, ,21.8, 
80,Fresno State,San Joaquin Valley,10/4/2023,1400,277,0.52, ,0.00, ,659, ,1.4, ,30.2, ,32, ,11.4, ,1.6, ,289, ,21.8, 
80,Fresno State,San Joaquin Valley,10/4/2023,1500,277,0.44, ,0.00, ,530, ,1.3, ,30.8, ,30, ,11.2, ,2.1, ,275, ,22.0, 
80,Fresno State,San Joaquin Valley,10/4/2023,1600,277,0.31, ,0.00, ,359, ,1.3, ,30.8, ,30, ,11.2, ,2.3, ,269, ,22.1, 
80,Fresno State,San Joaquin Valley,10/4/2023,1700,277,0.17, ,0.00, ,163, ,1.4, ,29.6, ,34, ,12.1, ,2.3, ,306, ,22.3, 
80,Fresno State,San Joaquin Valley,10/4/2023,1800,277,0.07, ,0.00, ,22, ,1.4, ,26.7, ,41, ,12.2, ,1.6, ,303, ,22.4, 
80,Fresno State,San Joaquin Valley,10/4/2023,1900,277,0.03, ,0.00, ,0, ,1.5, ,23.3, ,52, ,13.0, ,1.0, ,295, ,22.6, 
80,Fresno State,San Joaquin Valley,10/4/2023,2000,277,0.01, ,0.00, ,0, ,1.5, ,21.2, ,60, ,13.1, ,0.9, ,314, ,22.7, 
80,Fresno State,San Joaquin Valley,10/4/2023,2100,277,0.01, ,0.00, ,1, ,1.5, ,20.7, ,60, ,12.7, ,0.7, ,36, ,22.7, 
80,Fresno State,San Joaquin Valley,10/4/2023,2200,277,0.00, ,0.00, ,1, ,1.5, ,19.0, ,68, ,13.1, ,0.5, ,189, ,22.7, 
80,Fresno State,San Joaquin Valley,10/4/2023,2300,277,0.00, ,0.00, ,1, ,1.5, ,17.9, ,74, ,13.1, ,0.5, ,277, ,22.7, 
80,Fresno State,San Joaquin Valley,10/4/2023,2400,277,0.00, ,0.00, ,1, ,1.5, ,17.3, ,74, ,12.6, ,0.8, ,10, ,22.7, 
80,Fresno State,San Joaquin Valley,10/5/2023,0100,278,0.00, ,0.00, ,1, ,1.4, ,16.5, ,77, ,12.4, ,0.7, ,115, ,22.7, 
80,Fresno State,San Joaquin Valley,10/5/2023,0200,278,0.00, ,0.00, ,1, ,1.4, ,15.1, ,80, ,11.6, ,0.8, ,293, ,22.6, 
80,Fresno State,San Joaquin Valley,10/5/2023,0300,278,0.00, ,0.00, ,1, ,1.4, ,14.5, ,84, ,11.7, ,0.8, ,16, ,22.6, 
80,Fresno State,San Joaquin Valley,10/5/2023,0400,278,0.00, ,0.00, ,1, ,1.4, ,13.9, ,86, ,11.6, ,0.5, ,47, ,22.5, 
80,Fresno State,San Joaquin Valley,10/5/2023,0500,278,0.00, ,0.00, ,0, ,1.3, ,13.7, ,85, ,11.2, ,0.7, ,29, ,22.4, 
80,Fresno State,San Joaquin Valley,10/5/2023,0600,278,0.00, ,0.00, ,2, ,1.3, ,13.2, ,88, ,11.2, ,0.7, ,32, ,22.3, 
80,Fresno State,San Joaquin Valley,10/5/2023,0700,278,0.01,R,0.00, ,78, ,1.4, ,15.2, ,79, ,11.6, ,0.4,I,341, ,22.3, 
80,Fresno State,San Joaquin Valley,10/5/2023,0800,278,0.16, ,0.00, ,262, ,1.5, ,21.4, ,58, ,12.9, ,1.4, ,149, ,22.2, 
80,Fresno State,San Joaquin Valley,10/5/2023,0900,278,0.33, ,0.00, ,451, ,1.4, ,24.5, ,47, ,12.3, ,2.5, ,164, ,22.0, 
80,Fresno State,San Joaquin Valley,10/5/2023,1000,278,0.47, ,0.00, ,667, ,1.4, ,27.5, ,38, ,12.1, ,1.8, ,172, ,21.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,1100,278,0.55, ,0.00, ,714, ,1.4, ,28.3, ,38, ,12.5, ,2.0, ,173, ,21.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,1200,278,0.58, ,0.00, ,757, ,1.5, ,29.7, ,35, ,12.7, ,1.6, ,188, ,21.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,1300,278,0.58, ,0.00, ,736, ,1.5, ,30.9, ,34, ,13.2, ,1.5, ,269, ,21.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,1400,278,0.53, ,0.00, ,658, ,1.5, ,31.9, ,32, ,13.0, ,1.6, ,289, ,22.0, 
80,Fresno State,San Joaquin Valley,10/5/2023,1500,278,0.43, ,0.00, ,531, ,1.5, ,32.5, ,30, ,12.8, ,1.7, ,335, ,22.1, 
80,Fresno State,San Joaquin Valley,10/5/2023,1600,278,0.30, ,0.00, ,354, ,1.5, ,32.5, ,30, ,12.6, ,1.8, ,301, ,22.3, 
80,Fresno State,San Joaquin Valley,10/5/2023,1700,278,0.15, ,0.00, ,156, ,1.5, ,31.7, ,32, ,13.1, ,1.7, ,303, ,22.4, 
80,Fresno State,San Joaquin Valley,10/5/2023,1800,278,0.06, ,0.00, ,18, ,1.5, ,28.1, ,40, ,13.4, ,1.2, ,295, ,22.6, 
80,Fresno State,San Joaquin Valley,10/5/2023,1900,278,0.02, ,0.00, ,0, ,1.6, ,24.2, ,54, ,14.4, ,0.6, ,115, ,22.7, 
80,Fresno State,San Joaquin Valley,10/5/2023,2000,278,0.01, ,0.00, ,0, ,1.6, ,22.3, ,61, ,14.3, ,0.8, ,29, ,22.8, 
80,Fresno State,San Joaquin Valley,10/5/2023,2100,278,0.01, ,0.00, ,0, ,1.7, ,21.1, ,67, ,14.6, ,0.9, ,267, ,22.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,2200,278,0.00, ,0.00, ,1, ,1.6, ,19.2, ,71, ,13.9, ,0.5, ,336, ,22.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,2300,278,0.00, ,0.00, ,1, ,1.6, ,18.3, ,75, ,13.7, ,0.8, ,336, ,22.9, 
80,Fresno State,San Joaquin Valley,10/5/2023,2400,278,0.00, ,0.00, ,1, ,1.6, ,17.3, ,80, ,13.8, ,0.5, ,59, ,22.9, 
80,Fresno State,San Joaquin Valley,10/6/2023,0100,279,0.00,R,0.00, ,1, ,1.6, ,16.5, ,83, ,13.6, ,0.4,I,327, ,22.9, 
80,Fresno State,San Joaquin Valley,10/6/2023,0200,279,0.00, ,0.00, ,1, ,1.5, ,15.7, ,86, ,13.4, ,0.5, ,23, ,22.8, 
80,Fresno State,San Joaquin Valley,10/6/2023,0300,279,0.00, ,0.00, ,1, ,1.5, ,15.3, ,87, ,13.2, ,0.6, ,344, ,22.7, 
80,Fresno State,San Joaquin Valley,10/6/2023,0400,279,0.00, ,0.00, ,1, ,1.5, ,14.9, ,88, ,12.9, ,0.7, ,54, ,22.7, 
80,Fresno State,San Joaquin Valley,10/6/2023,0500,279,0.00, ,0.00, ,1, ,1.5, ,14.6, ,87, ,12.5, ,0.6, ,65, ,22.6, 
80,Fresno State,San Joaquin Valley,10/6/2023,0600,279,0.00, ,0.00, ,2, ,1.4, ,13.6, ,89, ,11.8, ,0.6, ,351, ,22.5, 
80,Fresno State,San Joaquin Valley,10/6/2023,0700,279,0.01,R,0.00, ,78, ,1.4, ,15.4, ,83, ,12.5, ,0.4,I,120, ,22.4, 
80,Fresno State,San Joaquin Valley,10/6/2023,0800,279,0.15, ,0.00, ,260, ,1.6, ,21.1, ,63, ,13.7, ,1.6, ,146, ,22.3, 
80,Fresno State,San Joaquin Valley,10/6/2023,0900,279,0.33, ,0.00, ,453, ,1.5, ,24.3, ,48, ,12.7, ,2.8, ,156, ,22.2, 
80,Fresno State,San Joaquin Valley,10/6/2023,1000,279,0.48, ,0.00, ,608, ,1.5, ,26.9, ,43, ,13.2, ,3.1, ,148, ,22.1, 
80,Fresno State,San Joaquin Valley,10/6/2023,1100,279,0.56, ,0.00, ,706, ,1.6, ,29.0, ,40, ,14.0, ,2.4, ,167, ,22.0, 
80,Fresno State,San Joaquin Valley,10/6/2023,1200,279,0.61, ,0.00, ,754, ,1.6, ,30.4, ,36, ,13.8, ,2.3, ,190, ,22.0, 
80,Fresno State,San Joaquin Valley,10/6/2023,1300,279,0.59, ,0.00, ,734, ,1.6, ,31.8, ,34, ,13.8, ,1.7, ,204, ,22.1, 
80,Fresno State,San Joaquin Valley,10/6/2023,1400,279,0.53, ,0.00, ,655, ,1.6, ,32.9, ,31, ,13.7, ,1.6, ,276, ,22.1, 
80,Fresno State,San Joaquin Valley,10/6/2023,1500,279,0.45, ,0.00, ,524, ,1.5, ,33.3, ,30, ,13.5, ,2.1, ,295, ,22.3, 
80,Fresno State,San Joaquin Valley,10/6/2023,1600,279,0.31, ,0.00, ,350, ,1.5, ,33.1, ,30, ,13.4, ,2.2, ,321, ,22.4, 
80,Fresno State,San Joaquin Valley,10/6/2023,1700,279,0.16, ,0.00, ,156, ,1.5, ,32.5, ,31, ,13.3, ,1.8, ,319, ,22.6, 
80,Fresno State,San Joaquin Valley,10/6/2023,1800,279,0.07, ,0.00, ,18, ,1.5, ,28.5, ,39, ,13.3, ,1.2, ,308, ,22.7, 
80,Fresno State,San Joaquin Valley,10/6/2023,1900,279,0.02, ,0.00, ,0, ,1.7, ,23.9, ,56, ,14.5, ,0.7, ,313, ,22.9, 
80,Fresno State,San Joaquin Valley,10/6/2023,2000,279,0.01, ,0.00, ,0, ,1.6, ,21.8, ,62, ,14.2, ,0.6, ,1, ,23.0, 
80,Fresno State,San Joaquin Valley,10/6/2023,2100,279,0.00, ,0.00, ,0, ,1.7, ,20.9, ,68, ,14.7, ,0.7, ,114, ,23.0, 
80,Fresno State,San Joaquin Valley,10/6/2023,2200,279,0.00, ,0.00, ,1, ,1.7, ,19.9, ,74, ,15.0, ,0.8, ,86, ,23.0, 
80,Fresno State,San Joaquin Valley,10/6/2023,2300,279,0.00, ,0.00, ,1, ,1.7, ,18.4, ,78, ,14.5, ,0.8, ,344, ,23.0, 
80,Fresno State,San Joaquin Valley,10/6/2023,2400,279,0.00, ,0.00, ,1, ,1.6, ,18.1, ,78, ,14.2, ,1.0, ,89, ,23.0, 
80,Fresno State,San Joaquin Valley,10/7/2023,0100,280,0.00, ,0.00, ,1, ,1.6, ,16.8, ,83, ,13.9, ,0.7, ,60, ,23.0, 
80,Fresno State,San Joaquin Valley,10/7/2023,0200,280,0.00, ,0.00, ,1, ,1.6, ,16.7, ,83, ,13.9, ,0.8, ,58, ,22.9, 
80,Fresno State,San Joaquin Valley,10/7/2023,0300,280,0.00, ,0.00, ,1, ,1.5, ,16.0, ,85, ,13.5, ,1.0, ,40, ,22.8, 
80,Fresno State,San Joaquin Valley,10/7/2023,0400,280,0.00, ,0.00, ,1, ,1.5, ,15.2, ,88, ,13.2, ,0.6, ,334, ,22.8, 
80,Fresno State,San Joaquin Valley,10/7/2023,0500,280,0.00, ,0.00, ,1, ,1.5, ,14.8, ,89, ,13.0, ,0.5, ,67, ,22.7, 
80,Fresno State,San Joaquin Valley,10/7/2023,0600,280,0.00, ,0.00, ,2, ,1.5, ,14.8, ,89, ,13.0, ,0.6, ,63, ,22.6, 
80,Fresno State,San Joaquin Valley,10/7/2023,0700,280,0.01, ,0.00, ,69, ,1.5, ,16.5, ,82, ,13.3, ,0.7, ,87, ,22.5, 
80,Fresno State,San Joaquin Valley,10/7/2023,0800,280,0.15, ,0.00, ,254, ,1.7, ,22.3, ,62, ,14.6, ,1.2, ,122, ,22.4, 
80,Fresno State,San Joaquin Valley,10/7/2023,0900,280,0.31, ,0.00, ,413, ,1.5, ,25.6, ,47, ,13.4, ,2.3, ,151, ,22.3, 
80,Fresno State,San Joaquin Valley,10/7/2023,1000,280,0.49, ,0.00, ,600, ,1.5, ,28.4, ,39, ,13.0, ,3.0, ,152, ,22.2, 
80,Fresno State,San Joaquin Valley,10/7/2023,1100,280,0.58, ,0.00, ,698, ,1.6, ,30.2, ,38, ,14.4, ,2.9, ,166, ,22.2, 
80,Fresno State,San Joaquin Valley,10/7/2023,1200,280,0.61, ,0.00, ,740, ,1.7, ,31.4, ,38, ,15.4, ,2.5, ,179, ,22.2, 
80,Fresno State,San Joaquin Valley,10/7/2023,1300,280,0.60, ,0.00, ,726, ,1.7, ,32.7, ,34, ,14.6, ,2.0, ,189, ,22.2, 
80,Fresno State,San Joaquin Valley,10/7/2023,1400,280,0.53, ,0.00, ,651, ,1.6, ,33.9, ,31, ,14.3, ,1.5, ,145, ,22.3, 
80,Fresno State,San Joaquin Valley,10/7/2023,1500,280,0.41, ,0.00, ,517, ,1.6, ,34.8, ,29, ,14.2, ,1.1, ,12, ,22.4, 
80,Fresno State,San Joaquin Valley,10/7/2023,1600,280,0.26, ,0.00, ,341, ,1.6, ,35.9, ,27, ,14.1, ,0.9, ,344, ,22.5, 
80,Fresno State,San Joaquin Valley,10/7/2023,1700,280,0.12,Y,0.00, ,151, ,1.7, ,35.8,Y,29,Y,14.7,Y,0.7, ,315, ,22.7, 
80,Fresno State,San Joaquin Valley,10/7/2023,1800,280,0.08, ,0.00, ,17, ,1.6, ,29.9, ,38, ,13.9, ,1.7, ,18, ,22.8, 
